blueTeamTotalKills,blueTeamDragonKills,blueTeamHeraldKills,blueTeamTotalGold,blueTeamXp,blueTeamTotalDamageToChamps,blueWin
11,0,1,5545,2407,6852,1
-3,-1,0,-1767,-1782,2096,0
-5,-1,-1,-2196,-1320,22,0
-9,1,0,-7703,-5353,942,0
5,2,0,5378,2838,7880,1
12,-1,0,6710,3616,17516,1
4,-2,0,1491,416,1143,0
8,1,0,1303,1101,5811,1
1,-1,0,634,-308,3012,1
3,2,0,4457,2062,7688,1
11,-2,1,4499,3589,5978,1
-10,-2,0,-4572,-3185,-12435,0
-10,0,0,-3098,-3035,-6783,0
17,1,1,10886,7262,17029,1
10,2,1,8922,5332,4500,1
-5,-2,0,-2362,-1252,-13064,0
-7,1,0,-3896,-3148,-3016,0
-4,-1,0,-1452,-614,1488,0
1,-2,0,-2527,-1380,-1384,0
-2,-2,-1,-2568,158,2323,0
-1,-2,0,-603,-1542,3999,0
-4,-2,0,1119,1763,396,1
25,2,0,14158,9472,21210,1
6,2,1,3413,2240,-5373,1
2,0,0,2345,768,8410,1
11,1,0,7619,6805,15126,1
6,-2,0,2292,1739,-371,0
10,2,1,4705,2163,11127,1
6,1,0,1797,879,7226,1
-12,-2,0,-7954,-4846,-8645,0
-10,0,0,-3789,-2526,-9275,0
-5,-1,0,-2975,-3206,-3004,0
-1,-2,0,-3631,-4689,-7026,0
-9,0,-1,-6781,-3469,1391,0
-6,2,0,-2329,-1996,-5129,0
-7,-2,0,-3245,-1671,-3609,0
1,1,0,849,1144,3778,1
4,0,-1,2884,1397,2581,1
15,0,0,9029,7748,9783,1
6,2,-1,1872,-177,7449,1
-8,0,0,-3399,-1547,-15866,0
1,-2,0,1208,1919,-268,1
-15,-2,0,-10280,-6135,-11669,0
-17,-2,0,-14173,-9880,-14348,0
-1,-2,0,737,1531,2706,0
-14,-2,0,-7915,-8354,-14323,0
3,0,0,1039,-1627,1071,1
-2,-2,0,2238,591,4985,1
7,0,0,790,-756,-612,1
-6,1,0,-4640,-4005,-7303,0
2,1,0,3100,1102,-122,1
6,-2,0,3349,1184,975,1
-14,-2,0,-11066,-6057,-2908,0
13,1,0,12550,8380,26537,1
-7,-1,0,-2051,-820,-8935,0
8,1,0,5114,3192,3996,1
10,0,0,6622,4590,10836,1
2,0,0,3984,1142,6436,1
-11,-2,-1,-5722,-5104,-13358,0
15,0,0,6918,6752,15005,1
3,0,0,2172,369,4597,1
-3,0,0,203,-217,6063,1
-7,-2,0,-2988,-4152,3109,0
3,-1,0,3119,1081,5619,0
-2,-2,0,529,-1992,-2169,0
-2,0,0,-262,-2581,1770,0
5,2,0,3630,4133,11018,1
4,2,-1,3790,1884,3193,1
-3,-2,0,-540,-2218,-640,0
-2,-2,0,181,-2481,-2107,0
-15,-2,0,-9110,-6548,-15363,0
3,0,1,2114,1797,8070,0
-19,-2,0,-9762,-6070,-16107,0
3,2,0,2758,4357,861,1
-6,1,0,-4918,-2092,-8783,0
-5,1,0,-2741,-3689,-6334,0
16,1,0,12112,7350,20874,1
-22,-2,0,-10615,-5551,-20855,0
-1,-1,-1,-2260,-2046,-3905,0
9,2,0,3758,985,3934,1
-9,-2,1,-5302,-4067,-13114,0
7,-1,0,8470,5130,2113,1
7,0,1,8172,4863,4177,1
1,0,0,-1428,1326,1692,0
4,2,0,1656,265,2849,1
4,2,0,1431,-162,5682,1
1,-2,0,154,983,7014,1
-1,-2,0,-1919,-1176,-2503,0
7,2,0,3125,3210,9503,1
11,1,0,6124,4420,9709,1
